"ItemCode","Packing","BarCode","SPrice","Qty"
"12169","POUCH","8853301012881","390","1"
"21620","Pc","067990501436","1140","1"
"21621","TIN","8964002417513","340","1"
"16734","BOTTLE","0745604693004","50","1"
"17316","Pc","671866277952","50","1"
"12172","TIN","734439085207","460","1"
"14041","TIN","734439085016","310","1"
"1217","POUCH","769503785776","290","1"
"227","Pkt","8961008237961","1110","1"
"21622","Box","7622202319679","2300","24"
"21622","Pc","7622202319686","100","1"
"12389","Pc","08964000102817","20","1"
"21623","Pc","8964002345779","30","1"
"21624","Pc","8964002345786","50","1"
"17718","Pc","3610340672118","2900","1"
"633","BOTTLE","548931354866","540","1"
"639","250g","6393","500","0.25"
"7799","Pc","8961014264517","510","1"
"897","Pc","8961014264586","99","1"
"15859","POUCH","8961014265255","495","1"
"15858","POUCH","8961014265262","495","1"
"10998","POUCH","8961014265521","530","1"
"13242","Pc","8964004257254","320","1"
"13741","Pc","8964004257285","320","1"
"21625","SACHET","9200014820033","60","1"
"21626","BOTTLE","6299000099136","90","1"
"21627","BOTTLE","6299000054610","50","1"
"21629","Pc","8886467048241","1430","1"
"21630","Pkt","7702018018116","1780","1"
"21631","Pkt","7702018450916","2190","1"
"21632","Pkt","7702018450886","2940","1"
"21633","Pkt","7702018016686","2440","1"
"21634","Pkt","7702018070657","2980","1"
"21635","Pkt","047400313927","3260","1"
"19664","Pkt","8964003018658","220","1"
"19665","Pkt","8964003018634","220","1"
"19666","Pkt","4986206195114","45","1"
"19667","POUCH","8961102503504","70","1"
"1408","Box","8961003562792","295","1"
"4486","Pkt","8961008222707","2950","1"
"19668","Pkt","745178346047","230","1"
"19669","Pc","6609936432356","190","1"
"19670","Box","796554565040","4050","1"
"19671","Box","796554565033","2770","1"
"19672","Box","796554565026","1420","1"
"16586","Pump","8999999033156","1580","1"
"4115","JAR","8886467020155","1390","1"
"19673","Pc","3600521230404","2900","1"
"19674","Pc","3610340670671","970","1"
"19676","Pc","8991991161332","930","1"
"19675","Pc","4800318407739","930","1"
"19677","Box","196771","220","1"
"19678","Pkt","8961014032314","130","1"
"19679","Pump","8961014262674","1130","1"
"19680","Pkt","8445290638885","390","1"
"19680","Pkt","8445290639127","390","1"
"19680","Pkt","8445290638908","390","1"
"19680","Pkt","8445290640093","390","1"
"19681","Pkt","8960001981093","120","1"
"19682","JAR","6972102831247","880","1"
"19683","JAR","6972102831254","1490","1"
"19684","JAR","6988521322013","1490","1"
"19685","TIN","6533411473704","390","1"
"19686","BOTTLE","6533411507768","390","1"
"19687","BOTTLE","6533411508758","390","1"
"19688","JAR","8964003576141","710","1"
"19689","JAR","8964003576592","820","1"
"14842","Pc","8025337347552","1160","1"
