"Table","Column","Type"
"Accounts","DR","4"
"Accounts","CR","4"
"Accounts","Head","10"
"Accounts","CreditLimit","4"
"Accounts","SalesmanID","4"
"Accounts","PreviousBalance","4"
"Accounts","Type","10"
"Accounts","Address","10"
"Accounts","Title","10"
"Accounts","AccountID","4"
"Accounts","CellPhone","10"
"Accounts","PhoneNo","10"
"Accounts","City","10"
"CounterInfo","StartInvoice","4"
"CounterInfo","EndInvoice","4"
"CounterInfo","CounterNo","4"
"CounterInfo","CounterName","10"
"Items","UrduDesc","10"
"Items","MU","10"
"Items","MaxStock","4"
"Items","Location","10"
"Items","MinStock","4"
"Items","HPrice","7"
"Items","STax","7"
"Items","Stock","7"
"Items","PackQty","4"
"Items","StockDate","8"
"Items","NotShow","1"
"Items","Packing","10"
"Items","PPrice","7"
"Items","ItemName","10"
"Items","ItemCode","4"
"Items","Company","10"
"Items","Taxable","10"
"Items","Group","10"
"Items","Type","10"
"Items","SPrice","7"
"Items","CPrice","7"
"Log","CashPaid","4"
"Log","AccountID","4"
"Log","TokenNo","4"
"Log","CounterNo","4"
"Log","FBRInvoiceNo","10"
"Log","Sync","10"
"Log","InvDate","8"
"Log","CustomerName","10"
"Log","VoucherNo","4"
"Log","User","10"
"Log","PInvNO","4"
"Log","SInvNo","4"
"Log","Amount","4"
"Log","Status","10"
"Log","DateTime","8"
"Log","Qty","4"
"Login","Roll","10"
"Login","SalesmanID","4"
"Login","User","10"
"Login","Password","10"
"Packings","PPrice","7"
"Packings","PKUrduDesc","10"
"Packings","CPrice","7"
"Packings","RPrice","7"
"Packings","Store","10"
"Packings","HPrice","4"
"Packings","SPrice","7"
"Packings","Packing","10"
"Packings","ItemCode","4"
"Packings","PackingNo","7"
"Packings","MaxQty","4"
"Packings","BarCode","10"
"Packings","Qty","7"
"SalesDetail","Discount2","4"
"SalesDetail","SMan","4"
"SalesDetail","RBonus","7"
"SalesDetail","RQty","7"
"SalesDetail","Bonus","4"
"SalesDetail","DT","8"
"SalesDetail","AC","4"
"SalesDetail","PSNo","4"
"SalesDetail","CounterNo","4"
"SalesDetail","TimeStamp","8"
"SalesDetail","RPrice","7"
"SalesDetail","Store","10"
"SalesDetail","PackQty","7"
"SalesDetail","Posting","10"
"SalesDetail","PKUrduDesc","10"
"SalesDetail","UrduDesc","10"
"SalesDetail","Company","10"
"SalesDetail","ItemName","10"
"SalesDetail","ItemCode","4"
"SalesDetail","InvoiceNo","4"
"SalesDetail","SNO","4"
"SalesDetail","Qty","7"
"SalesDetail","Packing","10"
"SalesDetail","STax","7"
"SalesDetail","InvoiceType","10"
"SalesDetail","To","4"
"SalesDetail","Discount","7"
"SalesDetail","BatchNo","10"
"SalesDetail","PPrice","7"
"SalesDetail","SPrice","7"
"SalesHead","InvoiceDiscount","4"
"SalesHead","TokenNo","4"
"SalesHead","InvoiceTo","4"
"SalesHead","CounterNo","4"
"SalesHead","InvoiceType","10"
"SalesHead","POSID","10"
"SalesHead","LinkInvoice","10"
"SalesHead","Sync","10"
"SalesHead","CreditLimit","4"
"SalesHead","FBRInvoiceNo","10"
"SalesHead","User","10"
"SalesHead","AccountID","4"
"SalesHead","SalesManID","4"
"SalesHead","CustomerName","10"
"SalesHead","InvoiceNo","4"
"SalesHead","Date","8"
"SalesHead","SupplyNo","4"
"SalesHead","Posting","10"
"SalesHead","PreviousBal","7"
"SalesHead","Discount","7"
"SalesHead","CashPaid","7"
"Salesman","Phone","10"
"Salesman","JoiningDate","8"
"Salesman","CellPhone","10"
"Salesman","AccountID","4"
"Salesman","GaranterName","10"
"Salesman","City","10"
"Salesman","Title","10"
"Salesman","SalesManID","4"
"Salesman","FatherName","10"
"Salesman","Address","10"
"Salesman","CNICNo","10"
"SyncCounter","UpdateTime","8"
"SyncCounter","Status","10"
"tbl_fbr_invoice","Discount","7"
"tbl_fbr_invoice","FurtherTax","7"
"tbl_fbr_invoice","TotalSaleValue","7"
"tbl_fbr_invoice","TotalTaxCharged","7"
"tbl_fbr_invoice","PaymentMode","3"
"tbl_fbr_invoice","InvoiceType","3"
"tbl_fbr_invoice","TotalBillAmount","7"
"tbl_fbr_invoice","TotalQuantity","4"
"tbl_fbr_invoice","BuyerPhoneNumber","10"
"tbl_fbr_invoice","usin","10"
"tbl_fbr_invoice","refUsin","10"
"tbl_fbr_invoice","invoiceNumber","10"
"tbl_fbr_invoice","posid","4"
"tbl_fbr_invoice","buyerNTN","10"
"tbl_fbr_invoice","buyerCNIC","10"
"tbl_fbr_invoice","datetime","8"
"tbl_fbr_invoice","BuyerName","10"
"tbl_fbr_invoice_itemes","taxCharged","7"
"tbl_fbr_invoice_itemes","furtherTax","7"
"tbl_fbr_invoice_itemes","discount","7"
"tbl_fbr_invoice_itemes","RefUSIN","10"
"tbl_fbr_invoice_itemes","invoiceType","3"
"tbl_fbr_invoice_itemes","totalAmount","7"
"tbl_fbr_invoice_itemes","PCTCode","10"
"tbl_fbr_invoice_itemes","itemName","10"
"tbl_fbr_invoice_itemes","itemCode","10"
"tbl_fbr_invoice_itemes","saleValue","7"
"tbl_fbr_invoice_itemes","taxRate","7"
"tbl_fbr_invoice_itemes","Quantity","7"
"tblQRCodes","QRText","10"
"tblQRCodes","ID","4"
"tblQRSheet","attachment","101"
"tblQRSheet","ID","4"
